sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0654,Q2,wwxtx_EJI58,1154,1
RE-V5RC-25-0254,Q4,PM0oZwGOi7E,0,1
RE-V5RC-25-0254,Q17,PM0oZwGOi7E,0,1
RE-V5RC-25-0654,Q17,wwxtx_EJI58,5193,1
RE-V5RC-25-0654,Q28,wwxtx_EJI58,8777,1
RE-V5RC-25-0654,Q38,wwxtx_EJI58,13973,1
RE-V5RC-25-0254,Q40,PM0oZwGOi7E,4122,1
RE-V5RC-25-0654,Q48,wwxtx_EJI58,19886,1
RE-V5RC-25-0654,Q56,wwxtx_EJI58,19023,1
RE-V5RC-25-0254,Q57,PM0oZwGOi7E,1329,1
RE-V5RC-25-0254,Q69,PM0oZwGOi7E,3603,1
RE-V5RC-25-0254,Q125,PM0oZwGOi7E,18128,1
RE-V5RC-25-0654,QF3-1,wwxtx_EJI58,25519,1
RE-V5RC-25-0254,R164-1,PM0oZwGOi7E,22953,1
RE-V5RC-25-0654,R165-1,wwxtx_EJI58,23946,1
RE-V5RC-25-0147,P2,NaLgd1bmHy4,0,1
RE-V5RC-25-0011,P9,dqiXLjV04TY,2250,1
RE-V5RC-25-0147,P16,T3iBuIt4M-0,4344,1
RE-V5RC-25-0011,Q7,dqiXLjV04TY,5104,1
RE-V5RC-25-0147,Q11,NaLgd1bmHy4,1745,1
RE-V5RC-25-0011,Q22,dqiXLjV04TY,8338,1
RE-V5RC-25-0147,Q26,NaLgd1bmHy4,4779,1
RE-V5RC-25-0011,Q38,dqiXLjV04TY,12111,1
RE-V5RC-25-0147,Q40,T3iBuIt4M-0,8428,1
RE-V5RC-25-0147,Q47,T3iBuIt4M-0,9976,1
RE-V5RC-25-0011,Q50,dqiXLjV04TY,14944,1
RE-V5RC-25-0147,Q59,T3iBuIt4M-0,13211,1
RE-V5RC-25-0011,Q59,dqiXLjV04TY,16662,1
RE-V5RC-25-0011,Q76,dqiXLjV04TY,20651,1
RE-V5RC-25-0147,Q80,T3iBuIt4M-0,17662,1
RE-V5RC-25-0011,Q82,4SnwGC71bns,654,1
RE-V5RC-25-0147,Q88,T3iBuIt4M-0,23816,1
RE-V5RC-25-0011,Q93,4SnwGC71bns,3069,1
RE-V5RC-25-0147,Q98,T3iBuIt4M-0,25943,1
RE-V5RC-25-0011,Q109,4SnwGC71bns,6337,1
RE-V5RC-25-0147,Q118,T3iBuIt4M-0,31073,1
RE-V5RC-25-0147,Q127,T3iBuIt4M-0,33083,1
RE-V5RC-25-0011,QF4-1,4SnwGC71bns,20597,1
RE-V5RC-25-0011,SF2-1,4SnwGC71bns,21646,1
RE-V5RC-25-0011,F1-1,4SnwGC71bns,22636,1
RE-V5RC-25-0011,F1-2,4SnwGC71bns,23650,1
RE-V5RC-25-0011,R167-1,4SnwGC71bns,18588,1
RE-V5RC-25-0654,Q9,wwxtx_EJI58,3163,1
RE-V5RC-25-0654,Q26,wwxtx_EJI58,8103,1
RE-V5RC-25-0654,Q36,wwxtx_EJI58,10558,1
RE-V5RC-25-0654,Q40,wwxtx_EJI58,14373,1
RE-V5RC-25-0654,Q53,wwxtx_EJI58,18064,1
RE-V5RC-25-0654,QF4-1,wwxtx_EJI58,25845,1
RE-V5RC-25-0654,SF2-1,wwxtx_EJI58,26738,1
RE-V5RC-25-0654,F1-1,wwxtx_EJI58,27618,1
RE-V5RC-25-0654,R167-1,wwxtx_EJI58,24347,1
RE-V5RC-25-0254,Q10,PM0oZwGOi7E,0,1
RE-V5RC-25-0254,Q30,PM0oZwGOi7E,2243,1
RE-V5RC-25-0254,Q37,PM0oZwGOi7E,3540,1
RE-V5RC-25-0254,Q51,PM0oZwGOi7E,6248,1
RE-V5RC-25-0254,Q74,PM0oZwGOi7E,7042,1
RE-V5RC-25-0254,Q121,PM0oZwGOi7E,17286,1
RE-V5RC-25-0254,QF1-1,PM0oZwGOi7E,24150,1
RE-V5RC-25-0254,SF1-1,PM0oZwGOi7E,25669,1
RE-V5RC-25-0254,F1-1,PM0oZwGOi7E,27010,1
RE-V5RC-25-0254,F1-2,PM0oZwGOi7E,28016,1
RE-V5RC-25-0254,R161-1,PM0oZwGOi7E,22032,1
RE-V5RC-25-0254,Q15,PM0oZwGOi7E,0,1
RE-V5RC-25-0254,Q39,PM0oZwGOi7E,3969,1
RE-V5RC-25-0254,Q63,PM0oZwGOi7E,2462,1
RE-V5RC-25-0254,Q79,PM0oZwGOi7E,8085,1
RE-V5RC-25-0254,Q120,PM0oZwGOi7E,17082,1
RE-V5RC-25-0254,R166-1,PM0oZwGOi7E,23369,1
RE-V5RC-25-0011,P1,dqiXLjV04TY,621,1
RE-V5RC-25-0011,Q5,dqiXLjV04TY,4622,1
RE-V5RC-25-0011,Q16,dqiXLjV04TY,7256,1
RE-V5RC-25-0011,Q34,dqiXLjV04TY,11207,1
RE-V5RC-25-0011,Q40,dqiXLjV04TY,12574,1
RE-V5RC-25-0011,Q57,dqiXLjV04TY,16218,1
RE-V5RC-25-0011,Q66,dqiXLjV04TY,18393,1
RE-V5RC-25-0011,Q89,4SnwGC71bns,2155,1
RE-V5RC-25-0011,Q98,4SnwGC71bns,4120,1
RE-V5RC-25-0011,Q110,4SnwGC71bns,6522,1
RE-V5RC-25-0011,P11,dqiXLjV04TY,2705,1
RE-V5RC-25-0011,Q12,dqiXLjV04TY,6232,1
RE-V5RC-25-0011,Q21,dqiXLjV04TY,8142,1
RE-V5RC-25-0011,Q27,dqiXLjV04TY,9395,1
RE-V5RC-25-0011,Q47,dqiXLjV04TY,14217,1
RE-V5RC-25-0011,Q54,dqiXLjV04TY,15651,1
RE-V5RC-25-0011,Q70,dqiXLjV04TY,19278,1
RE-V5RC-25-0011,Q85,4SnwGC71bns,1447,1
RE-V5RC-25-0011,Q91,4SnwGC71bns,2751,1
RE-V5RC-25-0011,QF1-1,4SnwGC71bns,19550,1
RE-V5RC-25-0011,SF1-1,4SnwGC71bns,21310,1
RE-V5RC-25-0011,R162-1,4SnwGC71bns,16749,1
RE-V5RC-25-0254,Q2,PM0oZwGOi7E,0,1
RE-V5RC-25-0254,Q26,PM0oZwGOi7E,1573,1
RE-V5RC-25-0254,Q47,PM0oZwGOi7E,5498,1
RE-V5RC-25-0254,Q62,PM0oZwGOi7E,2285,1
RE-V5RC-25-0254,Q73,PM0oZwGOi7E,6812,1
RE-V5RC-25-0254,Q112,PM0oZwGOi7E,15401,1
RE-V5RC-25-0254,QF2-1,PM0oZwGOi7E,24640,1
RE-V5RC-25-0011,P3,PsN2SkPObkQ,972,2
RE-V5RC-25-0011,Q7,PsN2SkPObkQ,4980,2
RE-V5RC-25-2898,Q7,pugQyXnFikE,690,1
RE-V5RC-25-0011,Q13,PsN2SkPObkQ,6149,2
RE-V5RC-25-2898,Q18,pugQyXnFikE,4213,1
RE-V5RC-25-0011,Q27,PsN2SkPObkQ,9490,2
RE-V5RC-25-2898,Q36,pugQyXnFikE,10366,1
RE-V5RC-25-0011,Q48,PsN2SkPObkQ,13417,2
RE-V5RC-25-0011,Q60,PsN2SkPObkQ,16300,2
RE-V5RC-25-2898,Q62,pugQyXnFikE,16417,1
RE-V5RC-25-0011,Q66,PsN2SkPObkQ,17347,2
RE-V5RC-25-2898,Q88,pugQyXnFikE,21268,1
RE-V5RC-25-2898,Q103,pugQyXnFikE,24400,1
RE-V5RC-25-2898,QF3-1,pugQyXnFikE,31025,1
RE-V5RC-25-2898,SF2-1,pugQyXnFikE,31860,1
RE-V5RC-25-2898,R165-1,pugQyXnFikE,29331,1
RE-V5RC-25-0010,P2,agB71m6kfJw,0,1
RE-V5RC-25-0254,Q1,PM0oZwGOi7E,0,1
RE-V5RC-25-0010,Q2,agB71m6kfJw,3432,1
RE-V5RC-25-0010,Q10,agB71m6kfJw,5146,1
RE-V5RC-25-0010,Q16,agB71m6kfJw,6559,1
RE-V5RC-25-0254,Q24,PM0oZwGOi7E,1255,1
RE-V5RC-25-0010,Q29,agB71m6kfJw,9808,1
RE-V5RC-25-0254,Q35,PM0oZwGOi7E,3148,1
RE-V5RC-25-0010,Q37,agB71m6kfJw,11568,1
RE-V5RC-25-0010,Q43,agB71m6kfJw,13040,1
RE-V5RC-25-0254,Q50,PM0oZwGOi7E,6003,1
RE-V5RC-25-0010,Q55,bXGM9dOsLGc,1896,1
RE-V5RC-25-0010,Q62,bXGM9dOsLGc,3524,1
RE-V5RC-25-0010,Q65,bXGM9dOsLGc,4518,1
